SRPM_name;added_by;import_reason;latest_release_URL;latest_release_regexp
acl;XS;;;
acpica-tools;XS;;;
aic94xx-firmware;XS;;;
arptables;XS;;;
at;XS;;;
attr;XS;;;
audit;XS;;;
autogen;XS;;;
avago-megaraid-sas;XS;;;
avago-mpt3sas;XS;;;
avahi;XS;;;
basesystem;XS;;;
bash;XS;;;
bash-completion;XS;;;
bc;XS;;;
bind;XS;;;
binutils;XS;;;
biosdevname;XS;;;
blktap;XS;;;
boost;XS;;;
branding-xcp-ng;XCP-ng;replaces branding-xenserver;;
bridge-utils;XS;;;
broadcom-bnxt-en;XS;;;
busybox;XS;;;
bzip2;XS;;;
ca-certificates;XS;;;
centos-logos;XS;;;
ceph-common;XS;;;
cheliso-cxgb4;XS;;;
chkconfig;XS;;;
cifs-utils;XS;;;
cisco-enic;XS;;;
cisco-fnic;XS;;;
compat-db;XS;;;
compat-gcc-32;XS;;;
control-slice;XS;;;
conversion-plugin;XCP-ng;FOSS python files imported from binary RPM from XS;;
coreutils;XS;;;
corosync;XS;;;
cpio;XS;;;
cracklib;XS;;;
cronie;XS;;;
crontabs;XS;;;
cryptsetup;XS;;;
cups;XS;;;
curl;XS;;;
cyrus-sasl;XS;;;
dbus;XS;;;
device-mapper-multipath;XS;;;
device-mapper-persistent-data;XS;;;
dhcp;XS;;;
diffutils;XS;;;
ding-libs;XS;;;
dlm;XS;;;
dmidecode;XS;;;
dosfstools;XS;;;
dracut;XS;;;
dstat;XCP-ng;extra tool;;
dyninst;XS;;;
e2fsprogs;XS;;;
ebtables;XS;;;
ed;XS;;;
edk2;XS;;;
efibootmgr;XS;;;
efivar;XS;;;
elfutils;XS;;;
emulex-lpfc;XS;;;
ethtool;XS;;;
expat;XS;;;
expect;XS;;;
fcoe-utils;XS;;;
file;XS;;;
filesystem;XS;;;
findutils;XS;;;
fipscheck;XS;;;
fontconfig;XS;;;
fontpackages;XS;;;
forkexecd;XS;;;
freetype;XS;;;
gawk;XS;;;
gcc;XS;;;
gdbm;XS;;;
gdisk;XS;;;
GeoIP;XS;;;
gettext;XS;;;
gfs2-utils;XS;;;
git;XCP-ng;extra tool;;
glib2;XS;;;
glibc;XS;;;
glibc32;XCP-ng;required to build xen;;
gmp;XS;;;
gnu-free-fonts;XS;;;
gnupg2;XS;;;
gpgme;XS;;;
gpumon;XS;;;
grep;XS;;;
groff;XS;;;
grub;XS;;;
grubby;XS;;;
gssproxy;XS;;;
guest-templates-json;XS;;;
gzip;XS;;;
hardlink;XS;;;
hdparm;XS;;;
host-upgrade-plugin;XS;;;
hostname;XS;;;
htop;XCP-ng;added to default install;;
hwdata;XS;;;
icu;XS;;;
iftop;XCP-ng;added to default install;;
initscripts;XS;;;
inotify-tools;XS;;;
intel-e1000e;XS;;;
intel-fm10k;XS;;;
intel-i40e;XS;;;
intel-igb;XS;;;
intel-ixgbe;XS;;;
interface-rename;XS;;;
iotop;XCP-ng;extra tool;;
iperf;XCP-ng;extra tool;;
iperf3;XCP-ng;extra tool;;
ipmitool;XS;;;
iproute;XS;;;
ipset;XS;;;
iptables;XS;;;
iputils;XS;;;
ipxe;XS;;;
ipxe-efi;XS;;;
irqbalance;XS;;;
iscsi-initiator-utils;XS;;;
jemalloc;XS;;;
joe;XCP-ng;extra tool;;
json-c;XS;;;
kbd;XS;;;
kernel;XS;;;
kernel-alt;XCP-ng;alternate kernel;;
kexec-tools;XS;;;
keyutils;XS;;;
kmod;XS;;;
kpatch;XS;;;
krb5;XS;;;
less;XS;;;
