SRPM name,Maintained by,built by,added by,import reason,main role
biosdevname,OS Platform,xcp-ng,xs,,main
control-slice,?,xcp-ng,xs,,main
guest-templates-json,XAPI & Network,xcp-ng,xs,,main
vmss,?,xcp-ng,xs,,main
xscontainer,?,xcp-ng,xcp-ng,Not present in XS 8.3 anymore,extra
avago-megaraid-sas,Hypervisor & Kernel,xcp-ng,xs,,main
avago-mpt3sas,Hypervisor & Kernel,xcp-ng,xs,,main
broadcom-bnxt-en,Hypervisor & Kernel,xcp-ng,xs,,main
chelsio-cxgb4,Hypervisor & Kernel,xcp-ng,xs,,main
cisco-enic,Hypervisor & Kernel,xcp-ng,xs,,main
cisco-fnic,Hypervisor & Kernel,xcp-ng,xs,,main
edk2,Hypervisor & Kernel,xcp-ng,xs,,main
emulex-lpfc,Hypervisor & Kernel,xcp-ng,xs,,main
intel-e1000e,Hypervisor & Kernel,xcp-ng,xs,,main
intel-fm10k,Hypervisor & Kernel,xcp-ng,xs,,main
intel-i40e,Hypervisor & Kernel,xcp-ng,xs,,main
intel-ice,Hypervisor & Kernel,xcp-ng,xs,,main
intel-igb,Hypervisor & Kernel,xcp-ng,xs,,main
intel-igc,Hypervisor & Kernel,xcp-ng,,,main
intel-ixgbe,Hypervisor & Kernel,xcp-ng,xs,,main
ipxe,Hypervisor & Kernel,xcp-ng,xs,,main
kernel,Hypervisor & Kernel,xcp-ng,xs,,main
kexec-tools,Hypervisor & Kernel,xcp-ng,xs,,main
kpatch,Hypervisor & Kernel,xcp-ng,xs,,main
libdrm,Hypervisor & Kernel,xcp-ng,xs,,main
libempserver,Hypervisor & Kernel,xcp-ng,xs,,main
libtpms,Hypervisor & Kernel,xcp-ng,xs,,main
mellanox-mlnxen,Hypervisor & Kernel,xcp-ng,xs,,main
microsemi-aacraid,Hypervisor & Kernel,xcp-ng,xs,,main
microsemi-smartpqi,Hypervisor & Kernel,xcp-ng,xs,,main
mpi3mr-module,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,main
qemu,Hypervisor & Kernel,xcp-ng,xs,,main
qlogic-fastlinq,Hypervisor & Kernel,xcp-ng,xs,,main
qlogic-netxtreme2,Hypervisor & Kernel,xcp-ng,xs,,main
qlogic-qla2xxx,Hypervisor & Kernel,xcp-ng,xs,,main
qlogic-qla2xxx-firmware,Hypervisor & Kernel,xcp-ng,xs,,main
r8125-module,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,main
swtpm,Hypervisor & Kernel,xcp-ng,xs,,main
varstored,Hypervisor & Kernel,xcp-ng,xs,,main
vcputune,Hypervisor & Kernel,xcp-ng,xs,,main
vncterm,Hypervisor & Kernel,xcp-ng,xs,,main
xcp-clipboardd,Hypervisor & Kernel,xcp-ng,xcp-ng,replaces proprietary xs-clipboardd,main
xcp-emu-manager,Hypervisor & Kernel,xcp-ng,xcp-ng,replaces proprietary emu-manager,main
xcp-ng-generic-lib,Hypervisor & Kernel,xcp-ng,xcp-ng,lib for other packages,main
xen,Hypervisor & Kernel,xcp-ng,xs,,main
xen-crashdump-analyser,Hypervisor & Kernel,xcp-ng,xs,,main
xengt-userspace,Hypervisor & Kernel,xcp-ng,xs,,main
ipxe-efi,Hypervisor & Kernel,xcp-ng,xs,,main_builddep
aqc111u-module,Hypervisor & Kernel,xcp-ng,xcp-ng,,extra
broadcom-bnxt-en-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
cisco-enic-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
cisco-fnic-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
coretemp-module-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,added to workaround missing CPU temperature sensors in dom0,extra
dell-rbu-module,Hypervisor & Kernel,xcp-ng,xcp-ng,dell_rbu driver,extra
igc-module,Hypervisor & Kernel,xcp-ng,xcp-ng,extra driver,extra
intel-e1000e-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
intel-i40e-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
intel-ice-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
intel-igb-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
intel-ixgbe-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,,extra
kernel-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate kernel,extra
mellanox-mlnxen-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
microsemi-smartpqi-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,alternate driver,extra
mlx4-modules-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
qlogic-fastlinq-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
qlogic-netxtreme2-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
qlogic-qla2xxx-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
r8169-module-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
test-ring0,Hypervisor & Kernel,xcp-ng,xs,,extra
tg3-module-alt,Hypervisor & Kernel,xcp-ng,xcp-ng,additional driver,extra
kernel-livepatch,Hypervisor & Kernel,xcp-ng,xs,,None
xen-livepatch,Hypervisor & Kernel,xcp-ng,xs,,None
amd-microcode,OS Platform,xcp-ng,xcp-ng,,main
curl,OS Platform,xcp-ng,xs,,main
dracut,OS Platform,xcp-ng,xs,,main
e2fsprogs,OS Platform,xcp-ng,xs,,main
ethtool,OS Platform,xcp-ng,xs,,main
fuse,OS Platform,xcp-ng,xs,,main
gdisk,OS Platform,xcp-ng,xs,,main
grub,OS Platform,xcp-ng,xs,,main
htop,OS Platform,xcp-ng,xcp-ng,added to default install,main
initscripts,OS Platform,xcp-ng,xs,,main
intel-microcode,OS Platform,xcp-ng,xcp-ng,,main
iproute,OS Platform,xcp-ng,xs,,main
irqbalance,OS Platform,xcp-ng,xs,,main
jemalloc,OS Platform,xcp-ng,xs,,main
libarchive,OS Platform,xcp-ng,xs,,main
linux-firmware,OS Platform,xcp-ng,xs,,main
lldpad,OS Platform,xcp-ng,xs,,main
logrotate,OS Platform,xcp-ng,xs,,main
makedumpfile,OS Platform,xcp-ng,xs,,main
mcelog,OS Platform,xcp-ng,xs,,main
memtest86+,OS Platform,xcp-ng,xs,,main
ncurses,OS Platform,xcp-ng,xs,,main
net-snmp,OS Platform,xcp-ng,xs,,main
newt,OS Platform,xcp-ng,xs,,main
openssh,OS Platform,xcp-ng,xs,,main
openssl,OS Platform,xcp-ng,xs,,main
python-defusedxml,OS Platform,xcp-ng,xs,,main
python-fasteners,OS Platform,xcp-ng,xs,,main
python-pam,OS Platform,xcp-ng,,,main
python-pyudev,OS Platform,xcp-ng,xs,,main
samba,OS Platform,xcp-ng,xs,,main
scapy,OS Platform,xcp-ng,xs,,main
setup,OS Platform,xcp-ng,xs,,main
slang,OS Platform,xcp-ng,xs,,main
sudo,OS Platform,xcp-ng,xs,,main
systemd,OS Platform,xcp-ng,xs,,main
systemtap,OS Platform,xcp-ng,xs,,main
util-linux,OS Platform,xcp-ng,xs,,main
vendor-drivers,OS Platform,xcp-ng,xs,,main
vendor-update-keys,OS Platform,xcp-ng,xcp-ng,replaces proprietary vendor-update-keys,main
vncsnapshot,OS Platform,xcp-ng,xs,,main
xcp-ng-deps,OS Platform,xcp-ng,xcp-ng,meta package that defines default installation,main
xcp-ng-plymouth-theme,OS Platform,xcp-ng,xcp-ng,replaces xenserver-plymouth-theme,main
xcp-ng-release,OS Platform,xcp-ng,xcp-ng,replaces xenserver-release,main
xenserver-dracut,OS Platform,xcp-ng,xs,,main
xenserver-hwdata,OS Platform,xcp-ng,xs,,main
xo-lite,OS Platform,xcp-ng,xcp-ng,,main
xs-openssl,OS Platform,xcp-ng,xs,,main
GeoIP,OS Platform,centos,xs,,main
OpenIPMI,OS Platform,centos,xs,,main
acl,OS Platform,centos,xs,,main
acpica-tools,OS Platform,centos,xs,,main
aic94xx-firmware,OS Platform,centos,xs,,main
arptables,OS Platform,centos,xs,,main
at,OS Platform,centos,xs,,main
attr,OS Platform,centos,xs,,main
audit,OS Platform,centos,xs,,main
autogen,OS Platform,centos,xs,,main
avahi,OS Platform,centos,xs,,main
basesystem,OS Platform,centos,xs,,main
bash,OS Platform,centos,xs,,main
